35 114
1 6 59
1 7 23
1 8 66
1 9 66
1 10 78
2 7 26
2 8 11
2 9 47
2 10 46
2 11 39
3 8 58
3 9 27
3 10 68
3 11 35
3 12 14
4 9 14
4 10 78
4 11 60
4 12 41
4 13 62
6 11 22
6 12 24
6 13 13
6 14 65
6 15 76
7 12 70
7 13 47
7 14 45
7 15 14
7 16 51
8 13 21
8 14 79
8 15 79
8 16 11
8 17 29
9 14 7
9 15 12
9 16 44
9 17 78
9 18 10
11 16 46
11 17 26
11 18 43
11 19 69
11 20 40
12 17 19
12 18 21
12 19 17
12 20 61
12 21 72
13 18 49
13 19 77
13 20 8
13 21 40
13 22 45
14 19 12
14 20 55
14 21 58
14 22 47
14 23 15
16 21 66
16 22 24
16 23 17
16 24 29
16 25 49
17 22 67
17 23 9
17 24 12
17 25 60
17 26 56
18 23 46
18 24 66
18 25 7
18 26 59
18 27 77
19 24 46
19 25 8
19 26 69
19 27 9
19 28 36
21 26 78
21 27 13
21 28 69
21 29 31
21 30 59
22 27 6
22 28 35
22 29 43
22 30 51
22 31 63
23 28 64
23 29 14
23 30 18
23 31 24
23 32 50
24 29 32
24 30 52
24 31 26
24 32 17
24 33 76
26 31 67
26 32 25
26 33 11
26 34 60
26 35 64
27 32 51
27 33 23
27 34 33
27 35 75
28 33 9
28 34 13
28 35 58
29 34 14
29 35 16
35
