50 231
1 2 56
1 3 65
1 4 8
1 5 66
1 6 5
1 7 29
1 8 8
2 3 68
2 4 35
2 5 25
2 6 41
2 7 35
2 8 7
2 9 22
3 4 32
3 5 63
3 6 27
3 7 35
3 8 10
3 9 17
3 10 61
5 6 42
5 7 5
5 8 26
5 9 63
5 10 31
5 11 42
5 12 62
6 7 59
6 8 71
6 9 5
6 10 44
6 11 12
6 12 10
6 13 5
7 8 50
7 9 44
7 10 45
7 11 16
7 12 64
7 13 19
7 14 47
9 10 76
9 11 44
9 12 62
9 13 36
9 14 5
9 15 40
9 16 45
10 11 60
10 12 77
10 13 61
10 14 69
10 15 28
10 16 27
10 17 6
11 12 43
11 13 61
11 14 24
11 15 64
11 16 10
11 17 18
11 18 58
13 14 45
13 15 51
13 16 57
13 17 37
13 18 35
13 19 54
13 20 41
14 15 22
14 16 11
14 17 40
14 18 10
14 19 34
14 20 59
14 21 49
15 16 18
15 17 31
15 18 22
15 19 72
15 20 39
15 21 8
15 22 24
17 18 44
17 19 52
17 20 18
17 21 35
17 22 12
17 23 75
17 24 33
18 19 77
18 20 29
18 21 47
18 22 22
18 23 59
18 24 72
18 25 6
19 20 50
19 21 34
19 22 25
19 23 52
19 24 31
19 25 7
19 26 71
21 22 55
21 23 20
21 24 31
21 25 44
21 26 78
21 27 63
21 28 9
22 23 19
22 24 31
22 25 56
22 26 18
22 27 62
22 28 10
22 29 76
23 24 57
23 25 31
23 26 30
23 27 38
23 28 72
23 29 9
23 30 73
25 26 36
25 27 19
25 28 77
25 29 41
25 30 11
25 31 20
25 32 12
26 27 12
26 28 29
26 29 33
26 30 78
26 31 70
26 32 49
26 33 77
27 28 12
27 29 36
27 30 49
27 31 76
27 32 40
27 33 11
27 34 9
29 30 54
29 31 51
29 32 74
29 33 5
29 34 17
29 35 52
29 36 6
30 31 30
30 32 50
30 33 31
30 34 6
30 35 78
30 36 77
30 37 32
31 32 10
31 33 71
31 34 59
31 35 22
31 36 12
31 37 70
31 38 5
33 34 18
33 35 47
33 36 17
33 37 61
33 38 75
33 39 55
33 40 45
34 35 32
34 36 26
34 37 9
34 38 44
34 39 49
34 40 56
34 41 67
35 36 29
35 37 9
35 38 45
35 39 40
35 40 43
35 41 70
35 42 10
37 38 21
37 39 67
37 40 64
37 41 60
37 42 16
37 43 18
37 44 34
38 39 69
38 40 77
38 41 59
38 42 47
38 43 26
38 44 31
38 45 36
39 40 45
39 41 76
39 42 60
39 43 17
39 44 51
39 45 44
39 46 14
41 42 29
41 43 60
41 44 5
41 45 78
41 46 55
41 47 25
41 48 58
42 43 40
42 44 19
42 45 72
42 46 33
42 47 19
42 48 44
42 49 51
43 44 63
43 45 46
43 46 8
43 47 22
43 48 64
43 49 55
43 50 35
50
