100 4255
1 2 26
1 3 4
1 4 23
1 5 57
1 6 55
1 7 7
1 8 15
1 9 37
1 10 34
1 11 67
1 12 37
1 13 46
1 14 37
1 15 53
1 16 2
1 17 52
1 18 61
1 19 44
1 20 36
1 21 18
1 22 65
1 23 46
1 24 22
1 25 16
1 26 68
1 27 14
1 28 44
1 29 39
1 30 73
1 31 41
1 32 46
1 33 3
1 34 5
1 35 43
1 36 47
1 37 17
1 38 47
1 39 30
1 40 40
1 41 47
1 42 31
1 43 55
1 44 2
1 45 15
1 46 2
1 47 54
1 48 48
1 49 42
1 50 7
1 51 59
1 52 23
1 53 36
1 54 47
1 55 29
1 56 72
1 57 29
1 58 23
1 59 65
1 60 15
1 61 16
1 62 44
1 63 46
1 64 61
1 65 42
1 66 34
2 3 39
2 4 21
2 5 10
2 6 20
2 7 21
2 8 29
2 9 17
2 10 23
2 11 5
2 12 51
2 13 57
2 14 28
2 15 5
2 16 70
2 17 45
2 18 29
2 19 19
2 20 36
2 21 20
2 22 36
2 23 58
2 24 35
2 25 11
2 26 33
2 27 28
2 28 15
2 29 41
2 30 52
2 31 19
2 32 1
2 33 58
2 34 36
2 35 32
2 36 72
2 37 73
2 38 19
2 39 8
2 40 10
2 41 21
2 42 17
2 43 61
2 44 57
2 45 19
2 46 72
2 47 33
2 48 31
2 49 74
2 50 72
2 51 34
2 52 74
2 53 48
2 54 52
2 55 31
2 56 31
2 57 54
2 58 16
2 59 17
2 60 18
2 61 49
2 62 34
2 63 4
2 64 19
2 65 43
2 66 28
2 67 67
3 4 39
3 5 4
3 6 69
3 7 43
3 8 43
3 9 49
3 10 50
3 11 11
3 12 59
3 13 7
3 14 25
3 15 68
3 16 50
3 17 23
3 18 30
3 19 15
3 20 67
3 21 69
3 22 13
3 23 57
3 24 62
3 25 74
3 26 58
3 27 33
3 28 74
3 29 47
3 30 41
3 31 14
3 32 14
3 33 71
3 34 72
3 35 67
3 36 1
3 37 34
3 38 8
3 39 18
3 40 51
3 41 48
3 42 51
3 43 51
3 44 19
3 45 52
3 46 21
3 47 46
3 48 26
3 49 20
3 50 22
3 51 13
3 52 45
3 53 58
3 54 62
3 55 30
3 56 4
3 57 40
3 58 3
3 59 23
3 60 39
3 61 71
3 62 20
3 63 53
3 64 9
3 65 33
3 66 51
3 67 18
3 68 72
4 5 53
4 6 56
4 7 28
4 8 75
4 9 6
4 10 37
4 11 24
4 12 44
4 13 10
4 14 23
4 15 40
4 16 71
4 17 23
4 18 51
4 19 37
4 20 31
4 21 4
4 22 38
4 23 21
4 24 43
4 25 53
4 26 42
4 27 73
4 28 37
4 29 29
4 30 30
4 31 63
4 32 53
4 33 61
4 34 12
4 35 13
4 36 25
4 37 36
4 38 1
4 39 13
4 40 68
4 41 21
4 42 38
4 43 63
4 44 20
4 45 29
4 46 19
4 47 28
4 48 21
4 49 74
4 50 26
4 51 12
4 52 31
4 53 12
4 54 42
4 55 30
4 56 58
4 57 35
4 58 31
4 59 18
4 60 29
4 61 10
4 62 21
4 63 75
4 64 66
4 65 3
4 66 56
4 67 35
4 68 47
4 69 58
5 6 67
5 7 40
5 8 24
5 9 47
5 10 27
5 11 36
5 12 55
5 13 15
5 14 29
5 15 48
5 16 40
5 17 25
5 18 52
5 19 65
5 20 30
5 21 47
5 22 35
5 23 4
5 24 68
5 25 16
5 26 34
5 27 3
5 28 34
5 29 55
5 30 9
5 31 59
5 32 75
5 33 15
5 34 3
5 35 9
5 36 15
5 37 33
5 38 71
5 39 72
5 40 47
5 41 22
5 42 60
5 43 65
5 44 69
5 45 16
5 46 74
5 47 10
5 48 16
5 49 69
5 50 69
5 51 22
5 52 9
5 53 71
5 54 61
5 55 72
5 56 42
5 57 29
5 58 15
5 59 10
5 60 67
5 61 8
5 62 31
5 63 5
5 64 65
5 65 57
5 66 71
5 67 68
