30 94
1 6 25
1 7 35
1 8 53
1 9 26
1 10 70
2 7 15
2 8 43
2 9 43
2 10 62
2 11 28
3 8 9
3 9 78
3 10 38
3 11 38
3 12 74
4 9 28
4 10 6
4 11 26
4 12 74
4 13 54
6 11 31
6 12 27
6 13 28
6 14 32
6 15 15
7 12 13
7 13 77
7 14 42
7 15 44
7 16 62
8 13 24
8 14 15
8 15 17
8 16 38
8 17 60
9 14 59
9 15 35
9 16 28
9 17 15
9 18 63
11 16 9
11 17 33
11 18 50
11 19 67
11 20 34
12 17 14
12 18 46
12 19 33
12 20 56
12 21 12
13 18 24
13 19 42
13 20 21
13 21 65
13 22 29
14 19 17
14 20 8
14 21 43
14 22 78
14 23 74
16 21 38
16 22 59
16 23 12
16 24 72
16 25 16
17 22 48
17 23 22
17 24 43
17 25 30
17 26 17
18 23 76
18 24 26
18 25 46
18 26 18
18 27 78
19 24 71
19 25 27
19 26 41
19 27 67
19 28 30
21 26 50
21 27 54
21 28 51
21 29 71
21 30 42
22 27 19
22 28 47
22 29 17
22 30 51
23 28 29
23 29 47
23 30 6
24 29 48
24 30 33
30
